#,Job_ID,Reserved,v1: Lighting Electricity [kWh],s1: Electricity [kWh],s1: normalized,t1: Heating [kWh],t2: Cooling [kWh]
0,LHS-000997,,68386.03199999999,114910.083,0.04970027666666666,115535.7193504475,12044.759633088861
0,LHS-000998,,33473.232,56140.758,0.0,42009.77980786444,25207.686653417946
0,LHS-000999,,48411.791999999994,132162.228,0.10720742666666667,77452.8666903339,63763.81114113333
0,LHS-000795,,93227.472,136255.968,0.12085322666666665,125444.54317231695,27476.894848174998
0,LHS-000989,,18815.472,134663.778,0.11554592666666663,4454.144697097222,81753.85785389389
0,LHS-000794,,68386.03199999999,172408.13549999997,0.2413604516666666,2487.8019798929217,109782.58500542915
0,LHS-000797,,18534.672000000002,102285.10800000001,0.007617026666666691,107790.5789426475,9758.432100159389
0,LHS-000796,,101576.59199999999,148100.643,0.1603354766666667,190015.4626613272,30928.06766755139
0,LHS-000799,,48411.791999999994,111801.258,0.03933752666666667,118353.88297142388,24466.646659952974
0,LHS-000798,,84981.31199999999,189003.41549999997,0.29667805166666655,75158.19002893251,58219.752727747225
0,LHS-000791,,101576.59199999999,182979.648,0.27659882666666663,8152.53776581111,156942.46104767334
0,LHS-000790,,69247.152,185095.45799999998,0.2836515266666666,83670.75292152916,36477.751571055276
0,LHS-000793,,35195.472,71360.433,0.0,48791.06443893806,12371.250097084472
0,LHS-000792,,18600.192,132981.3855,0.10993795166666669,127123.2885085714,20404.48717110775
0,LHS-000380,,18534.672000000002,41202.198000000004,0.0,61557.65564095278,59145.06069905639
0,LHS-000382,,18815.472,65926.368,0.0,23462.238399440725,50771.290621054715
0,LHS-000381,,48411.791999999994,91440.288,0.0,43424.725155639724,71203.54127680027
0,LHS-000384,,51790.75199999999,143552.89800000002,0.14517632666666672,53015.393017410825,54382.77289675278
0,LHS-000383,,63350.352,86017.878,0.0,66911.51910299805,33046.90465840945
0,LHS-000386,,68386.03199999999,137529.1305,0.12509710166666665,95187.3513363036,31861.65505931639
0,LHS-000385,,84981.31199999999,143765.3205,0.14588440166666666,32086.61330581889,46368.15788535139
0,LHS-000388,,35195.472,139217.5755,0.13072525166666668,109541.08409312082,22423.86881966714
0,LHS-000387,,18600.192,77384.2005,0.0,148937.97316039444,6204.836216453333
0,LHS-000389,,84981.31199999999,189003.41549999997,0.29667805166666655,94277.1834945614,59378.35423763584
0,LHS-000371,,84981.31199999999,131505.363,0.1050178766666667,27403.39837467381,42870.07302265027
0,LHS-000370,,84981.31199999999,143765.3205,0.14588440166666666,40389.11678785528,35793.17803145611
0,LHS-000375,,78288.912,121317.40800000001,0.0710580266666667,109417.2790618736,13356.899040767777
0,LHS-000374,,63350.352,86017.878,0.0,91730.2878534711,51032.15626936695
0,LHS-000373,,51790.75199999999,133193.808,0.11064602666666663,14828.449417160138,57094.073519956386
0,LHS-000372,,63350.352,126739.818,0.08913272666666666,36453.82314295416,35526.655748629724
0,LHS-000379,,18600.192,87743.2905,0.0,85585.48808133502,12621.48196991586
0,LHS-000378,,102868.272,149979.16799999998,0.1665972266666666,32490.68775242583,48155.8700813275
0,LHS-000377,,18600.192,77384.2005,0.0,126597.98392080527,11094.710388509387
0,LHS-000376,,35195.472,104338.5705,0.014461901666666672,125584.43817076556,43904.52781729945
0,LHS-000362,,51790.75199999999,143552.89800000002,0.14517632666666672,41520.12720670056,24381.564907644468
0,LHS-000106,,18600.192,122622.29550000001,0.07540765166666669,212584.6471601214,15039.952427476668
0,LHS-000361,,18600.192,87743.2905,0.0,151223.56630020947,22573.870435082474
0,LHS-000105,,18600.192,87743.2905,0.0,55745.835433049724,19540.948301251166
0,LHS-000364,,18815.472,88838.838,0.0,81248.10489359389,10941.413528648694
0,LHS-000108,,52436.592,122459.958,0.07486652666666667,94700.4536668925,18834.780956497445
0,LHS-000363,,18600.192,100003.248,1.0826666666689561E-5,59301.95885391417,18557.718618613526
0,LHS-000107,,101576.59199999999,182979.648,0.27659882666666663,14396.98800345189,49936.63232001861
0,LHS-000102,,69247.152,162182.98799999998,0.2072766266666666,63123.53269697583,88182.6709581561
0,LHS-000101,,78288.912,100956.43800000001,0.0031881266666666974,46159.46616590944,37931.82247307861
0,LHS-000360,,18534.672000000002,81924.138,0.0,122136.10404331944,6328.331068745639
0,LHS-000104,,18600.192,54765.153000000006,0.0,174878.7724089214,7793.804490584611
0,LHS-000103,,18815.472,111751.308,0.039171026666666685,163474.35362554944,8537.43231029939
0,LHS-000369,,102868.272,195804.10799999998,0.3193470266666666,20222.713832808695,70653.62425683695
0,LHS-000100,,68386.03199999999,172408.13549999997,0.2413604516666666,144972.53049706528,18482.540629632447
0,LHS-000366,,69247.152,162182.98799999998,0.2072766266666666,29651.66958813167,58870.650447094165
0,LHS-000365,,35195.472,149576.66549999997,0.16525555166666658,61179.94330998917,61647.66071118889
0,LHS-000368,,51790.75199999999,110574.7605,0.03524920166666668,28175.488973730833,65785.79216668416
0,LHS-000367,,68386.03199999999,127170.0405,0.09056680166666668,96344.99801013002,22441.33089774186
0,LHS-000353,,86057.712,201906.01799999998,0.3396867266666666,4046.4176259255273,128285.56098664056
0,LHS-000352,,102868.272,195804.10799999998,0.3193470266666666,39702.96077007111,94599.32980564972
0,LHS-000351,,35195.472,139217.5755,0.13072525166666668,5633.42348597025,122195.05511796918
0,LHS-000350,,93227.472,156616.938,0.18872312666666666,39831.05662185584,39812.51806100584
0,LHS-000359,,63350.352,126739.818,0.08913272666666666,48035.82059967139,31195.633262934443
0,LHS-000358,,48411.791999999994,71079.318,0.0,156263.18933548612,5102.934072814723
0,LHS-000357,,18600.192,100003.248,1.0826666666689561E-5,103989.17315962278,50098.021684559164
0,LHS-000356,,84981.31199999999,154124.4105,0.18041470166666665,157810.68777245306,30301.366555190278
0,LHS-000355,,69247.152,162182.98799999998,0.2072766266666666,34526.337700092496,34187.286724482496
0,LHS-000354,,68386.03199999999,137529.1305,0.12509710166666665,51514.74180769944,46768.27641513
0,LHS-000398,,86057.712,178993.54799999998,0.2633118266666666,75490.45551738501,32478.378356962774
0,LHS-000399,,84981.31199999999,199362.5055,0.3312083516666667,37954.13711481555,92234.77400003666
0,LHS-000396,,102868.272,149979.16799999998,0.1665972266666666,83883.63701408666,29032.35164664778
0,LHS-000397,,63350.352,147100.788,0.15700262666666667,52727.489378618055,91451.85342185751
0,LHS-000394,,86057.712,201906.01799999998,0.3396867266666666,8151.267903657638,91670.60451295278
0,LHS-000395,,102868.272,172891.63799999998,0.2429721266666666,77167.18344779471,33664.31529899944
0,LHS-000392,,52436.592,99547.488,0.0,86712.47326042528,20296.78458255414
0,LHS-000393,,68386.03199999999,127170.0405,0.09056680166666668,105321.63208011,33518.020971652775
0,LHS-000390,,18600.192,87743.2905,0.0,30144.18815213889,33937.3214002
0,LHS-000391,,69247.152,139270.518,0.1309017266666667,32681.855371213613,66747.47535423472
0,LHS-000595,,84981.31199999999,154124.4105,0.18041470166666665,153510.72324933222,30888.95493863528
0,LHS-000594,,68386.03199999999,127170.0405,0.09056680166666668,27382.310971146446,63157.53261459584
0,LHS-000593,,52436.592,99547.488,0.0,132492.69685312916,7758.581012854556
0,LHS-000592,,102868.272,195804.10799999998,0.3193470266666666,27741.656752225997,48560.56384219528
0,LHS-000591,,51790.75199999999,143552.89800000002,0.14517632666666672,93094.62648291,33116.33165721389
0,LHS-000590,,86057.712,201906.01799999998,0.3396867266666666,5417.751385073222,134307.4040598497
0,LHS-000599,,69247.152,139270.518,0.1309017266666667,117935.47971241,35998.87177037361
0,LHS-000598,,51790.75199999999,87955.713,0.0,96063.46774597555,9475.998789407084
0,LHS-000597,,52436.592,122459.958,0.07486652666666667,34177.35769226944,37198.85787562778
0,LHS-000596,,35195.472,139217.5755,0.13072525166666668,139747.50725488612,14971.549596686917
0,LHS-000013,,102868.272,195804.10799999998,0.3193470266666666,103504.85161099861,43153.317218902775
0,LHS-000014,,18600.192,65124.243,0.0,171129.71862270805,6057.710874196111
0,LHS-000015,,18600.192,77384.2005,0.0,235136.08134048776,12100.129269955194
