#,Job_ID,WeatherFile, ModelFile, @@building_fabrics@@, @@orientation@@, @@glazing_ratio@@, @@glazing_coating@@, @@overhang@@, @@infiltration_rate@@, @@fresh_air@@, @@lighting_density@@, @@equipment_open@@, @@occupancy_open@@,Message, Warnings, Errors, Hours, Minutes, Seconds,c0: InteriorLights:Electricity [J](RunPeriod),c1: InteriorEquipment:Electricity [J](RunPeriod),c2: Heating:DistrictHeating [J](RunPeriod),c3: Cooling:DistrictCooling [J](RunPeriod)
285,LHS-000285,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,270,75, Non_reflective, none,0.7,0.005,24,20,9,EnergyPlus Completed Successfully,2,0,0,0,19.71,3.66E+11,2.93E+11,7.02E+10,4.78E+11
286,LHS-000286,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF5,225,50, Reflective, Overhang,0.9,0.015,20,10,9,EnergyPlus Completed Successfully,2,0,0,0,10.43,3.10E+11,1.70E+11,3.65E+11,7.21E+10
287,LHS-000287,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF5,45,50, Non_reflective, Overhang,0.5,0.015,12,25,6,EnergyPlus Completed Successfully,2,0,0,0,20.66,1.74E+11,3.02E+11,2.07E+11,1.86E+11
288,LHS-000288,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF4,270,50, Reflective, none,0.1,0.005,12,20,9,EnergyPlus Completed Successfully,2,0,0,0,8.79,1.89E+11,3.35E+11,2.89E+10,2.89E+11
289,LHS-000289,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF1,135,50, Non_reflective, Overhang,0.1,0.015,8,10,9,EnergyPlus Completed Successfully,2,0,0,0,21.03,1.27E+11,1.30E+11,5.36E+11,4.80E+10
290,LHS-000290,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF5,315,75, Non_reflective, Overhang,0.1,0.005,4,10,12,EnergyPlus Completed Successfully,2,0,0,0,25.05,6.70E+10,1.30E+11,5.99E+10,3.25E+11
291,LHS-000291,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,0,25, Reflective, none,0.5,0.02,4,25,15,EnergyPlus Completed Successfully,2,0,0,0,16.25,6.70E+10,3.74E+11,2.07E+11,7.26E+10
292,LHS-000292,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF5,315,50, Non_reflective, Overhang,0.9,0.015,24,10,9,EnergyPlus Completed Successfully,2,0,0,0,20.72,3.36E+11,8.16E+10,2.93E+11,1.28E+11
293,LHS-000293,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF1,0,25, Non_reflective, Overhang,0.3,0.005,8,10,6,EnergyPlus Completed Successfully,2,0,0,0,11.25,1.27E+11,1.67E+11,4.18E+11,3.62E+10
294,LHS-000294,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF2,225,25, Non_reflective, Overhang,0.3,0.01,24,20,15,EnergyPlus Completed Successfully,2,0,0,0,14.85,3.36E+11,2.28E+11,1.01E+11,1.37E+11
295,LHS-000295,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF3,225,50, Non_reflective, Overhang,0.7,0.02,8,25,12,EnergyPlus Completed Successfully,2,0,0,0,13.75,1.28E+11,4.17E+11,3.10E+11,1.32E+11
296,LHS-000296,GBR_London.Gatwick.037760_IWEC.epw, Type2_CS.imf, BF5,45,50, Non_reflective, Overhang,0.7,0.005,16,15,9,EnergyPlus Completed Successfully,2,0,0,0,22.8,2.28E+11,1.55E+11,1.37E+11,1.77E+11
297,LHS-000297,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF5,180,75, Reflective, none,0.5,0.015,16,20,15,EnergyPlus Completed Successfully,2,0,0,0,12.63,2.49E+11,3.35E+11,1.35E+11,2.29E+11
298,LHS-000298,GBR_London.Gatwick.037760_IWEC.epw, Type1_OD.imf, BF5,0,75, Non_reflective, Overhang,0.9,0.005,20,15,12,EnergyPlus Completed Successfully,2,0,0,0,9.64,3.10E+11,2.52E+11,1.25E+11,3.26E+11
299,LHS-000299,GBR_London.Gatwick.037760_IWEC.epw, Type3_OA.imf, BF3,225,50, Reflective, Overhang,0.1,0.01,24,10,6,EnergyPlus Completed Successfully,2,0,0,0,10.92,3.66E+11,1.67E+11,1.71E+11,1.33E+11
300,LHS-000300,GBR_London.Gatwick.037760_IWEC.epw, Type4_CDO.imf, BF4,90,50, Reflective, none,0.3,0.005,16,10,15,EnergyPlus Completed Successfully,2,0,0,0,18.8,2.46E+11,1.30E+11,7.46E+10,1.53E+11
