#, Job_ID, Date/Time, EMS:Bedroom Zones Overheating While Occupied [](RunPeriod), EMS:Living Zones Overheating While Occupied [](RunPeriod), EMS:Bedroom Zones Overheating Severity While Occupied [](RunPeriod), EMS:Living Zones Overheating Severity While Occupied [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Bedroom Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category I Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category II Status Severity [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status [](RunPeriod), EMS:Living Zones Thermal Comfort CEN 15251 Adaptive Model Category III Status Severity [](RunPeriod)
15, LHS-000015, simdays=365, 14., 73., 14.9393441038183, 89.8336448683047, 0.333333333333333, 4.606026561993085E-002, 0.0, 0.0, 0.0, 0.0, 115.166666666667, 83.1399637199237, 27.8333333333333, 19.54491249596, 8.5, 4.54860558385462 
16, LHS-000016, simdays=365, 49., 305.333333333333, 79.1886078195942, 541.296634719031, 20.6666666666667, 24.4916451188019, 9.5, 9.94151265031823, 4., 3.58578069857405, 452.333333333333, 767.560450104308, 282.833333333333, 404.755936255528, 166.833333333333, 184.356114637761 
17, LHS-000017, simdays=365, 490.166666666666, 497.333333333333, 1408.6856490168, 1476.64834716938, 340.166666666667, 840.226706421609, 243., 551.703460871108, 167.5, 349.077927327869, 636.833333333333, 2011.24370646612, 549.833333333333, 1417.60696740184, 437., 921.369778522393 
18, LHS-000018, simdays=365, 1268.83333333333, 1938., 5989.0462945767, 10067.135334707, 1289.66666666667, 4921.21390873927, 1125.83333333333, 3711.83913884695, 937.666666666667, 2681.66681670504, 2203., 12790.9898583886, 2102.5, 10639.4778150603, 1964., 8604.7936760721 
19, LHS-000019, simdays=365, 13., 80.5, 14.752106782428, 103.815440785039, 0.5, 4.342819008225795E-002, 0.0, 0.0, 0.0, 0.0, 113.333333333333, 94.0772468088929, 33.1666666666667, 24.2646228094648, 10., 5.56987875452686 
20, LHS-000020, simdays=365, 76.8333333333333, 180.5, 104.466241613308, 317.394931435085, 25.8333333333333, 27.5946708351473, 11., 10.3300163378442, 4.16666666666667, 3.16997324569948, 252.5, 451.781920513733, 169., 240.190572367937, 93.3333333333333, 106.91059661694 
21, LHS-000021, simdays=365, 29.6666666666667, 150.5, 33.7317861152227, 201.175569522537, 4., 2.45305309341815, 0.666666666666667, 0.168141518063474, 0.0, 0.0, 231.833333333333, 269.238763882099, 108., 102.586286896967, 41., 35.1662248620033 
22, LHS-000022, simdays=365, 34.6666666666667, 152.5, 36.7472641006621, 215.414295573215, 3.83333333333333, 2.45917012806064, 0.666666666666667, 0.194843347667521, 0.0, 0.0, 232., 319.598721022618, 133.333333333333, 139.993361453864, 54.6666666666667, 49.1538739332298 
23, LHS-000023, simdays=365, 67.3333333333334, 100.833333333333, 77.5740420838992, 128.370143687466, 10.8333333333333, 7.63889075226692, 3., 1.67767679708671, 0.5, 8.884981597504311E-002, 180., 177.364598208496, 73.5, 55.6844057301657, 21.8333333333333, 13.2242498104116 
24, LHS-000024, simdays=365, 658.5, 335.333333333333, 1594.95778639519, 675.717057928754, 477.666666666667, 716.485092655234, 279., 340.291334704985, 133.5, 134.603580949974, 466., 914.975794331569, 343.666666666667, 507.116211538362, 205.833333333333, 231.764604098713 
